profile_id,polymer,process,nozzle_temp_c,bed_temp_c,layer_height_mm,print_speed_mms,infill_pct,infill_pattern,wall_count,retraction_mm,retraction_speed_mms,fan_speed_pct,gcode_tokens,thermal_gradient_c_mm,crystallinity_pct,tensile_strength_mpa,flexural_modulus_gpa,description
ADD-001,PLA,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"G28 ; home\nG92 E0 ; reset extruder\nM104 S215 ; nozzle\nM190 S60 ; bed\nG1 Z0.2 F5000 ; first layer",8.5,85,65,3.5,PLA standard profile; 215°C nozzle 60°C bed; 0.20mm layer; 50mm/s; grid infill 20%; 3 perimeters; good dimensional accuracy and surface finish
ADD-002,PLA+,FDM,220,65,0.15,45,25,gyroid,4,6.0,45,100,"M104 S220\nM190 S65\nG1 F2700 E-6.0 ; retract\nG1 Z0.15 F5000",7.2,87,72,3.8,PLA+ enhanced; higher impact resistance; 0.15mm fine layer for detail; gyroid infill for isotropic strength; 4 walls for structural rigidity
ADD-003,PETG,FDM,235,80,0.25,40,30,grid,3,7.0,25,30,"M104 S235\nM190 S80\nM106 S76 ; 30% fan\nG1 Z0.25 F3000",6.0,35,53,2.3,PETG chemical-resistant profile; 235°C/80°C; reduced fan for layer adhesion; 7mm retraction to control stringing; 0.25mm layer for speed
ADD-004,ABS,FDM,245,110,0.30,60,20,honeycomb,3,5.0,50,0,"M104 S245\nM190 S110\nM106 S0 ; no fan\nM141 S50 ; enclosure 50C\nG1 Z0.30 F4000",12.0,55,44,2.1,ABS functional profile; requires enclosed chamber 50°C; zero fan; 245°C/110°C; honeycomb infill for weight reduction; warp-resistant with brim
ADD-005,ASA,FDM,250,100,0.20,55,25,gyroid,4,5.5,50,10,"M104 S250\nM190 S100\nM106 S25 ; 10% fan\nG1 Z0.20 F3500",11.5,60,50,2.2,ASA UV-stable outdoor profile; 250°C/100°C; minimal fan; good thermal stability to 98°C; low warping vs ABS; suitable for exterior applications
ADD-006,TPU_95A,FDM,230,40,0.25,25,80,concentric,4,1.5,30,50,"M104 S230\nM190 S40\nM106 S127 ; 50% fan\nG1 F1500 E-1.5 ; minimal retract\nG1 Z0.25",4.0,N/A,45,0.007,TPU flexible profile; 95A hardness; slow 25mm/s to prevent extruder skip; concentric infill for uniform flex; minimal retraction; direct drive extruder recommended
ADD-007,Nylon_PA12,FDM,260,90,0.20,40,40,gyroid,4,8.0,40,20,"M104 S260\nM190 S90\nM141 S60 ; chamber\nG1 F2400 E-8.0",9.0,70,58,1.9,Nylon PA12 structural profile; dry filament required (<0.1% moisture); 260°C/90°C; enclosed chamber; gyroid infill for fatigue resistance; high layer adhesion
ADD-008,PEI_ULTEM,FDM,385,160,0.15,25,40,grid,5,3.0,30,0,"M104 S385\nM190 S160\nM141 S90 ; chamber 90C\nG1 Z0.15 F2000",25.0,55,114,3.6,PEI high-performance profile; 385°C industrial nozzle (hardened steel); 90°C chamber mandatory; excellent chemical resistance; Tg=217°C; aerospace-grade applications
ADD-009,PEEK,FDM,400,120,0.15,20,30,gyroid,6,2.5,25,0,"M104 S400\nM190 S120\nM141 S120 ; chamber 120C\nG1 Z0.15 F1500",28.0,35,100,3.7,PEEK ultra-high-performance; 400°C nozzle (ruby/hardened); 120°C chamber; amorphous vs crystalline trade-off (anneal post-print for Tg 300°C+); medical/aerospace grade
ADD-010,Carbon_Fiber_PLA,FDM,220,60,0.20,45,30,grid,4,6.5,45,100,"M104 S220\nM190 S60\nG1 Z0.20 ; hardened nozzle required\nG1 F2700 E-6.5",8.0,85,120,8.5,CF-PLA chopped fiber composite; hardened nozzle mandatory; 30% CF volume fraction; 8.5 GPa flexural modulus (steel-class stiffness:weight); abrasive — replace nozzle every 500g
