record_id,year,scientist,principle_or_equation,bernoulli_derivation_snippet,hull_friction_coefficient,canal_name,canal_flow_rate_cfs,archaic_resistance_equation,measurement_notes
HYD-1801,1801,Young,Surface tension capillary law,Young-Laplace p=γ(1/R1+1/R2); integrated with hydrostatic head for canal meniscus calibration,N/A,Manchester Bolton & Bury Canal,142.3,Q=μA√(2gh) Darcy-Weisbach precursor,Capillary rise 2.1mm in 4-inch tube; discharge measured by notch weir
HYD-1804,1804,Bernoulli,Incompressible steady-flow energy theorem,∫dp/ρ+v·dv+g·dz=0 along streamline; Daniel Bernoulli 1738 Hydrodynamica Ch. XII,N/A,Basel Rhine sluice model,28.7,v²/2g+z+p/ρg=const,Model scale 1:48; pressure taps at 7 stations
HYD-1810,1810,Fulton,Planing hull resistance at low Froude,Froude number Fr=V/√(gL) not yet formalized; empirical skin friction dominant,Cf≈0.0042,Hudson River trial section,890.0,R=½ρV²Sf·Cf·A_wet,Clermont paddle wheel 15 RPM; 4.5 mph sustained
HYD-1815,1815,Dubuat,Pipe and open-channel friction experiments,Head loss hf=f·(L/D)·(V²/2g); f correlated to sand grain roughness ε,Cf≈0.0051,Louis XIV Canal du Midi reach,67.2,h= f L V²/(2g D),ε/D=0.0008; Re≈4.2×10⁴ transitional
HYD-1825,1825,Navier,Viscous fluid momentum (pre-Stokes),ρ(∂v/∂t+v·∇v)=-∇p+μ∇²v; laminar pipe profile parabolic assumed,Cf≈0.0038,Thames tideway section,1240.0,τ_w=μ(∂u/∂y)|_wall,Velocity profile 12-point Pitot traverse
HYD-1835,1835,Poiseuille,Capillary tube laminar flow law,Q=(πr⁴/8μL)Δp; Hagen-Poiseuille validation for blood flow analogy,N/A,Paris aqueduct branch,18.9,Δp=128μLQ/(πd⁴),Microtube d=0.8mm; μ=1.002 mPa·s at 20°C
HYD-1845,1845,St Venant,Unsteady open-channel shallow water,∂h/∂t+∂(hu)/∂x=0; dynamic wave speed √(gh) for canal surges,N/A,Canal de Bourgogne pound,312.5,c=√(gh) surge celerity,Gate closure generated 0.35m bore in 2.1km reach
HYD-1850,1850,Froude,Resistance scaling via velocity-length ratio,Fr=V/√(gL); wave-making resistance separates from frictional at Fr≈0.4,Cf≈0.0035,Torquay model tank Series I,scale 1:12,R_total=R_friction+R_wave,Rn=2.8×10⁶ model; wave height 12mm at Fr=0.52
HYD-1855,1855,Darcy,Darcy-Weisbach friction factor correlation,h_f=f·(L/D)·(V²/2g); f=0.02 for cast iron at Re=10⁵,Cf≈0.0029,Lyon municipal supply main,445.0,f=0.316/Re^0.25 precursor to Blasius,Pipe D=0.42m; mercury manometer Δh=1.24m
HYD-1860,1860,Rankine,Shock and open-channel hydraulic jump,Bélanger 1828 jump condition h₂/h₁=½(√(1+8Fr₁²)-1); energy loss ΔE=g(h₁-h₂)³/(4h₁h₂),N/A,Rhône barrage model,578.0,Fr₁=V₁/√(gh₁),Jump length 4.2h₂ in flume; sequent depth verified ±1%
HYD-1865,1865,Reynolds,Dimensional transition criterion,Re=ρVD/μ; laminar-turbulent threshold Re_crit≈2300 for pipe flow,Cf≈0.0018,Manchester Ship Canal dredge reach,2180.0,τ_laminar=4μV/D vs τ_turb=0.0225ρV²f,Color-band dye experiment; Re=12,400 turbulent confirmed
