primitive_id,type,vertices,faces,winding_order,coordinate_system,matrix_spec,vertex_count,face_count,uv_map,normal_map,description
GEO-001,cube,"v 0.0 0.0 0.0\nv 1.0 0.0 0.0\nv 1.0 1.0 0.0\nv 0.0 1.0 0.0\nv 0.0 0.0 1.0\nv 1.0 0.0 1.0\nv 1.0 1.0 1.0\nv 0.0 1.0 1.0","f 1 2 3 4\nf 5 8 7 6\nf 1 5 6 2\nf 2 6 7 3\nf 3 7 8 4\nf 4 8 5 1",CCW,right-handed,"[[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1]]",8,6,planar,flat,Unit cube 1x1x1 at origin; all face normals outward; CCW winding in right-handed coordinate system
GEO-002,sphere_uv,parametric,triangulated,CCW,right-handed,"r=1.0 theta=[0,2pi] phi=[0,pi] lat_segs=32 lon_segs=16",1026,2048,spherical,smooth,UV sphere radius=1.0; latitude/longitude tessellation; 32 longitudinal x 16 latitudinal segments
GEO-003,cylinder,"v_bottom_cap v_top_cap v_side_ring_n",triangulated+quads,CCW,right-handed,"r=0.5 h=2.0 segs=32",66,96,cylindrical,smooth,Cylinder radius=0.5 height=2.0; 32-segment circular cross-section; smooth shading on barrel face
GEO-004,torus,"parametric R=1.0 r=0.25 major_segs=32 minor_segs=16",quad_mesh,CCW,right-handed,"R=1.0 r=0.25 u=[0,2pi] v=[0,2pi]",512,512,toroidal,smooth,Torus major radius=1.0 minor radius=0.25; 32x16 quad tessellation; genus-1 topology
GEO-005,plane,"v 0 0 0\nv 1 0 0\nv 1 0 1\nv 0 0 1","f 1 2 3 4",CCW,right-handed,"[[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1]]",4,1,planar,flat,Unit plane XZ at Y=0; single quad face; normal pointing +Y; used as ground plane reference
GEO-006,icosphere,geodesic_subdivision,triangulated,CCW,right-handed,"r=1.0 subdivisions=2",162,320,spherical_approx,smooth,Icosphere radius=1.0; 2x geodesic subdivision from icosahedron; near-uniform triangle distribution
GEO-007,cone,"v_apex v_base_ring",triangulated+fan,CCW,right-handed,"r=0.5 h=1.0 segs=32 apex=[0,1,0]",33,64,conical,flat_base_smooth_side,Cone apex at (0,1,0) base radius=0.5; 32-segment base fan triangulation
GEO-008,capsule,"v_hemisphere_top v_cylinder v_hemisphere_bot",triangulated,CCW,right-handed,"r=0.5 h=2.0 hem_segs=16 cyl_segs=32",544,1056,mixed,smooth,Capsule total height=2.0 radius=0.5; cylinder midsection + hemispherical end caps; smooth across seams
GEO-009,bezier_patch,"ctrl_pts[4][4]",quad_eval,N/A,right-handed,"degree=3 u_segs=8 v_segs=8 ctrl_grid=4x4",81,64,bilinear,computed,Bicubic Bezier patch; 4x4 control point grid; 8x8 evaluation resolution; tangent-continuous
GEO-010,nurbs_surface,"ctrl_pts[6][6] knot_u knot_v weights",quad_eval,N/A,right-handed,"degree_u=3 degree_v=3 knots_u=[0,0,0,0.33,0.67,1,1,1,1] knots_v=same",49,36,bilinear,computed,NURBS surface 6x6 control grid; degree 3 in both directions; uniform knot vectors; exact conic section representation possible
GEO-011,triangle_mesh_lod0,"high_poly_vertices",triangulated,CCW,right-handed,"poly_count=10000 lod=0",10002,10000,unwrapped,per-vertex,High-detail LOD0 triangle mesh; 10K triangles; per-vertex normals; UV-unwrapped for PBR texturing
GEO-012,triangle_mesh_lod1,"mid_poly_vertices",triangulated,CCW,right-handed,"poly_count=2500 lod=1",2502,2500,unwrapped,per-vertex,Medium-detail LOD1; 2500 triangles; decimated from LOD0 via quadric error metric; error threshold=0.001
